Provider,Product No,Technology,Size,Display Color,Grayscale,Resolution,Interface,PIN#,Driver IC,Tags
WF-Tech,WF0402T8DCF1300E4,EINK,4.2,B/W,,400 x 300,SPI,24,,
WF-Tech,WF0420T1PCZ01230HU57,EINK,4.2,B/W,,400 x 300,SPI,24,,
WF-Tech,WF0420T8DCZ1500E4U76,EINK,4.2,B/W/R,,400 x 300,SPI,24,,
WF-Tech,WF0420T8DCZ150E42U76,EINK,4.2,B/W/Y,,400 x 300,SPI,24,,
WF-Tech,WF0437T5DCF2300E4U59,EINK,4.37,B/W/R,,480 x 176,SPI,24,,
WF-Tech,WF0583T5DCZ0900E4U59,EINK,5.83,B/W/R,,600 x 448,SPI,24,,
WF-Tech,WF0583T5DCZ090E42U59,EINK,5.83,B/W/Y,,600 x 448,SPI,24,,
WF-Tech,WF0583T5PCZ09230HU59,EINK,5.83,B/W,,600 x 448,SPI,24,,
WF-Tech,WF0600T5PCF01230HH02,EINK,6,B/W,,800 x 600,SPI,24,,
WF-Tech,WF0750T80BF190E42U59,EINK,7.5,B/W,,640 x 384,SPI,24,,
WF-Tech,WF0750T8DCZ0900E4U59,EINK,7.5,B/W/R,,640 x 384,SPI,24,,
WF-Tech,WF0750T8DCZ090E42U59,EINK,7.5,B/W/Y,,640 x 384,SPI,24,,
WF-Tech,WF0750T8PCZ09230HU59,EINK,7.5,B/W,,640 x 384,SPI,24,,
